0: [0.34560551708621645:2,0.15149165412092674:9,0.12090584626852993:7,0.11262921813137536:5,0.07186207294070626:1,0.051039555840214225:6,0.050583126727479:8,0.049593653997284395:0,0.023159283022011798:3,0.023130071865255824:4]
1: [0.647503645031674:9,0.08454038409807957:1,0.06654953446739655:5,0.04888263288079034:2,0.03618728825891369:6,0.03139535034574821:0,0.024362334632455462:7,0.021186906184528342:8,0.021007117164036776:3,0.018384806936377025:4]
2: [0.31364334005835665:5,0.2600552009986474:2,0.09810756246519045:9,0.08064625126929605:3,0.07881402452544656:1,0.04138479969155214:7,0.037808215370649566:4,0.03467535735532271:6,0.029154736300712115:0,0.025710511964826384:8]
3: [0.7012791474610858:9,0.07935635201003258:2,0.07242342980282285:4,0.026277635437863666:1,0.02208810720581483:0,0.02199173683690029:5,0.02029679229083613:7,0.019975840476870708:8,0.01817598961149966:3,0.018134968866273513:6]
4: [0.4257018774943343:0,0.17761790172069913:5,0.09571498056156694:8,0.07425607288497818:9,0.06295138022547375:2,0.038170253794456675:6,0.03772586622218112:1,0.03225496209083371:4,0.030581400165155516:7,0.02502530484032055:3]
5: [0.33720389582235233:9,0.1598171500030303:1,0.1433725296766737:5,0.129088777550475:2,0.10322049768636839:6,0.08114111581558502:0,0.014977926248441988:8,0.013156013696138714:7,0.011281745980365916:3,0.006740347520568548:4]
6: [0.5008331205250361:9,0.17959822967261005:2,0.1216474755902978:1,0.10992316137532106:0,0.028174058876092572:7,0.014717779790405845:8,0.013040932995458134:5,0.011670479248726653:4,0.010461884909688333:6,0.009932877016363485:3]
7: [0.233458098865194:6,0.1592630057552474:5,0.1496184534606973:4,0.13663060267619126:9,0.13214957459432655:1,0.0803987646102834:3,0.03735172474940696:2,0.028625691679641362:8,0.024882622833033278:0,0.017621460775978558:7]
8: [0.3480746062150493:2,0.2428759038871411:1,0.21120349942562633:5,0.059721214550683105:3,0.05369753332199329:9,0.025978356550173325:6,0.021892314083811253:7,0.02019003312312868:4,0.009877815639148404:8,0.006488723203244981:0]
9: [0.40488465351045355:1,0.3002672706015611:0,0.06689501494385187:2,0.06617071121081243:5,0.06306321419779409:9,0.030117599714215803:3,0.024759636949259162:4,0.019025817819595676:6,0.014564461355942561:7,0.010251619696513682:8]
10: [0.35890988611071256:1,0.17735217674450907:9,0.1744820109625837:4,0.08728357287464707:6,0.08252299560676173:5,0.042316235792217945:2,0.026316017710458318:7,0.018610642253757716:8,0.016358190740390674:0,0.01584827120396132:3]
